open,high,low,close,volume,value
92615000.0,93138000.0,92018000.0,92094000.0,226.4004418,20980682649.79403
92087000.0,92496000.0,92067000.0,92465000.0,90.5252243,8352606331.8482
92475000.0,93225000.0,92286000.0,93218000.0,261.57954784,24301501292.91698
93171000.0,93483000.0,93104000.0,93420000.0,180.8290616,16875097568.68585
93420000.0,94100000.0,93349000.0,93879000.0,262.18004093,24584347700.37189
93962000.0,94500000.0,93800000.0,93888000.0,275.43025643,25935595667.55096
93888000.0,93955000.0,93632000.0,93854000.0,132.06118737,12384114093.47496
93845000.0,93931000.0,93506000.0,93586000.0,94.83063102,8884958879.38328
93586000.0,93993000.0,93520000.0,93875000.0,98.6612913,9252886585.5255
93866000.0,93962000.0,93701000.0,93706000.0,82.67505662,7756572927.33602
93704000.0,93999000.0,93703000.0,93921000.0,102.54802002,9631363826.265
93921000.0,94450000.0,93921000.0,94123000.0,184.57275322,17386141028.55736
94118000.0,94409000.0,94100000.0,94280000.0,108.89919631,10263456023.96883
94223000.0,94286000.0,93944000.0,94211000.0,89.32180816,8406009775.53756
94211000.0,94420000.0,94053000.0,94291000.0,83.93963022,7910284809.99692
94291000.0,94949000.0,94188000.0,94907000.0,294.19828192,27824833402.77953
94908000.0,94990000.0,93631000.0,94145000.0,304.12910822,28675439481.16885
94145000.0,94696000.0,94077000.0,94460000.0,125.68538359,11873120758.84375
94460000.0,94650000.0,94280000.0,94330000.0,64.61935536,6105353586.41954
94330000.0,94534000.0,94172000.0,94250000.0,43.67862308,4119061301.97364
94250000.0,94460000.0,94156000.0,94349000.0,26.03588305,2455342758.61001
94349000.0,94990000.0,94319000.0,94816000.0,102.88151137,9744339039.90419
94816000.0,94888000.0,94200000.0,94251000.0,50.62222834,4785523806.32665
94251000.0,95000000.0,94232000.0,94681000.0,145.59595842,13808230497.33064
94681000.0,94905000.0,94660000.0,94774000.0,68.85991128,6525768405.99363
94732000.0,94804000.0,94564000.0,94727000.0,71.03744081,6726143394.45185
94639000.0,94861000.0,94605000.0,94699000.0,117.19833837,11100493028.21104
94699000.0,94699000.0,94239000.0,94251000.0,128.86907665,12173175440.64396
94254000.0,94888000.0,94239000.0,94863000.0,112.29680382,10618643840.1015
94863000.0,94888000.0,94592000.0,94605000.0,66.385349,6286697288.67661
94605000.0,94744000.0,94605000.0,94736000.0,43.86100141,4152857718.39703
94738000.0,94908000.0,94705000.0,94800000.0,81.8817503,7763475334.25121
94795000.0,94995000.0,94770000.0,94961000.0,70.923604,6729648124.42684
94980000.0,95292000.0,94940000.0,95079000.0,226.38351709,21530299718.9517
95070000.0,95219000.0,94908000.0,95040000.0,114.94142487,10928672259.77815
95040000.0,95247000.0,95040000.0,95247000.0,70.65887838,6724039288.84218
95245000.0,95300000.0,95141000.0,95190000.0,79.25036965,7547972255.83666
95202000.0,95202000.0,94967000.0,95151000.0,78.00514669,7415747548.63854
95151000.0,95600000.0,95147000.0,95594000.0,229.50131474,21904080276.18832
95594000.0,96681000.0,95566000.0,96572000.0,491.20580965,47235976981.94764
96563000.0,96813000.0,95950000.0,96199000.0,333.00486939,32092380122.34534
96197000.0,96400000.0,95900000.0,96240000.0,161.2891962,15497152910.42004
96240000.0,96434000.0,96020000.0,96060000.0,99.14128284,9542043352.44725
96106000.0,96160000.0,95669000.0,95805000.0,91.50909669,8772610717.00464
95805000.0,96462000.0,95804000.0,95942000.0,86.91040635,8358923547.14494
95942000.0,96006000.0,94780000.0,95411000.0,316.14858999,30148591584.15081
95411000.0,95810000.0,93150000.0,94541000.0,1018.26749753,95980721069.80603
94663000.0,96288000.0,94240000.0,95874000.0,448.52960115,42888480213.428
95874000.0,95897000.0,95264000.0,95360000.0,172.36585476,16463555362.24626
95360000.0,95431000.0,94200000.0,94292000.0,275.3096407,26068794442.13957
94341000.0,95100000.0,93600000.0,94866000.0,314.43382636,29690558555.0242
94866000.0,95280000.0,94777000.0,95014000.0,113.7133054,10808642196.17668
95013000.0,95065000.0,94820000.0,94931000.0,70.39721664,6680891410.79322
94923000.0,94930000.0,94654000.0,94669000.0,57.52926163,5453404163.96734
94669000.0,94856000.0,93900000.0,93903000.0,146.93826035,13860930219.32802
93901000.0,94378000.0,93658000.0,94238000.0,206.19722836,19371378284.85433
94180000.0,94400000.0,94141000.0,94197000.0,76.16237399,7180046453.39239
94200000.0,94206000.0,93976000.0,94171000.0,65.79864284,6189728220.72609
